                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0672,                  5.506,                 4.2036,                      0,                      0,                      0,                      0,                 2.7727,                 5.7251,                 4.1506,             0.00010323,             0.00010323,             0.00010323
                      2,                 2.9864,                 5.4354,                 4.1701,                      0,                      0,                      0,                      0,                 2.7039,                 5.7059,                 4.0847,             0.00020771,             0.00020771,             0.00020771
                      3,                 2.9806,                 5.3958,                 4.1206,                      0,                      0,                      0,                      0,                 2.5758,                 5.6774,                 3.8857,             0.00031009,             0.00031009,             0.00031009
                      4,                 2.9683,                 5.4047,                 4.0504,                  3e-05,                0.10897,                0.00023,                  8e-05,                 2.6609,                   5.74,                 4.1039,             0.00032311,             0.00032311,             0.00032311
                      5,                 2.9134,                 5.3732,                 3.9627,                  6e-05,                0.13462,                0.00047,                0.00015,                 2.6834,                 5.9221,                 3.9602,             0.00032311,             0.00032311,             0.00032311
                      6,                 2.8908,                 5.2968,                 3.7847,                 0.0002,                0.12436,                0.00107,                0.00035,                 2.6115,                 5.6764,                 3.3575,             0.00031981,             0.00031981,             0.00031981
                      7,                 2.7895,                 5.2255,                 3.6384,                0.00233,                0.35719,                0.00513,                0.00126,                 2.4809,                 5.4215,                 3.4165,             0.00031652,             0.00031652,             0.00031652
                      8,                 2.7171,                 5.1355,                 3.4917,                0.00209,                0.47582,                  0.016,                0.00383,                 2.4967,                 5.5892,                 3.1999,             0.00031322,             0.00031322,             0.00031322
                      9,                 2.6717,                 5.0497,                 3.3716,                 0.0038,                0.64525,                0.02431,                0.00703,                 2.4522,                 5.4378,                 3.2463,             0.00030992,             0.00030992,             0.00030992
                     10,                 2.6231,                  4.889,                  3.283,                0.23383,                0.06955,                0.01737,                0.00579,                 2.3759,                 5.7248,                 3.1852,             0.00030663,             0.00030663,             0.00030663
                     11,                 2.5299,                   4.78,                 3.1361,                0.00587,                0.39031,                 0.0282,                0.00993,                 2.3048,                 5.3292,                 3.2794,             0.00030333,             0.00030333,             0.00030333
                     12,                 2.4647,                 4.7654,                 3.1277,                0.00892,                0.44927,                0.01668,                0.00679,                 2.2042,                 5.1362,                  3.298,             0.00030003,             0.00030003,             0.00030003
                     13,                 2.3281,                 4.5865,                 2.9889,                 0.0066,                0.54054,                0.02242,                0.01028,                 2.0994,                 5.0565,                 3.1747,             0.00029674,             0.00029674,             0.00029674
                     14,                  2.233,                 4.4705,                 2.9161,                0.59369,                 0.0719,                0.05255,                0.02263,                 2.1122,                 5.0639,                 2.9303,             0.00029344,             0.00029344,             0.00029344
                     15,                  2.152,                 4.3822,                  2.839,                0.39259,                0.13805,                0.06674,                0.02299,                 2.0136,                 5.7536,                 2.8914,             0.00029014,             0.00029014,             0.00029014
                     16,                 2.1244,                 4.4337,                 2.7685,                0.58695,                0.07083,                0.07516,                0.03005,                 2.0476,                 5.0016,                 2.8665,             0.00028685,             0.00028685,             0.00028685
                     17,                 2.0685,                 4.2648,                 2.6929,                0.52432,                0.06036,                0.08627,                0.03991,                 1.8049,                 4.4905,                 2.5956,             0.00028355,             0.00028355,             0.00028355
                     18,                 1.9625,                 4.1406,                 2.5781,                0.50935,                0.05485,                0.09492,                0.03961,                  1.703,                    4.5,                 2.4848,             0.00028025,             0.00028025,             0.00028025
                     19,                 1.9247,                 4.1073,                 2.5733,                0.01037,                0.88724,                 0.0846,                0.03703,                 1.9309,                 4.5808,                 2.6757,             0.00027696,             0.00027696,             0.00027696
                     20,                  1.913,                 4.1397,                 2.5571,                0.55594,                0.06683,                0.11156,                0.04938,                 1.7006,                 4.3754,                 2.4687,             0.00027366,             0.00027366,             0.00027366
                     21,                 1.8726,                 4.0169,                  2.468,                 0.0353,                0.53983,                0.08403,                0.04147,                 1.7317,                 4.4001,                 2.4365,             0.00027036,             0.00027036,             0.00027036
                     22,                  1.815,                 3.9499,                   2.45,                0.45363,                0.12243,                0.14883,                0.07708,                 1.4427,                  4.099,                 2.2366,             0.00026707,             0.00026707,             0.00026707
                     23,                  1.752,                 3.8696,                 2.3754,                0.33446,                0.19277,                0.17095,                0.09931,                 1.4711,                 4.1716,                 2.2477,             0.00026377,             0.00026377,             0.00026377
                     24,                 1.7278,                  3.828,                 2.3661,                0.33693,                0.19176,                0.17779,                0.09884,                 1.4574,                 4.0371,                 2.2386,             0.00026047,             0.00026047,             0.00026047
                     25,                 1.6885,                 3.7905,                 2.2867,                0.33484,                0.24379,                  0.185,                0.10386,                  1.449,                  4.027,                 2.2165,             0.00025718,             0.00025718,             0.00025718
                     26,                 1.6362,                 3.7347,                 2.2441,                0.34499,                0.17247,                0.20602,                0.13457,                 1.3619,                 3.7957,                 2.0912,             0.00025388,             0.00025388,             0.00025388
                     27,                  1.656,                 3.6582,                 2.2679,                0.36411,                0.28302,                0.20611,                0.11842,                 1.5219,                 3.8577,                 2.1568,             0.00025058,             0.00025058,             0.00025058
                     28,                 1.6184,                 3.6287,                 2.2323,                0.36977,                0.25626,                0.21138,                0.13106,                 1.3475,                 3.7662,                 2.0948,             0.00024729,             0.00024729,             0.00024729
                     29,                 1.6002,                 3.6318,                 2.1911,                0.40753,                0.21005,                0.22671,                0.15217,                 1.3243,                 3.7261,                   2.07,             0.00024399,             0.00024399,             0.00024399
